Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-04-13,62200.74609375,62200.74609375,61542.03925160741,61730.2412065053,15091022
2023-04-14,61259.7265625,62671.24099942396,61165.6256000384,62671.24099942396,16176490
2023-04-17,61447.9296875,61730.232580398166,60883.323901703676,61165.62679460184,13486618
2023-04-18,61730.234375,62106.638243140245,60977.42663871952,62012.537276105184,14802060
2023-04-19,61636.12890625,61918.43178673664,61447.92698592557,61636.12890625,10255985
2023-04-20,61447.9296875,61447.9296875,60789.22293740429,61259.72775890123,9501169
2023-04-21,61824.3359375,62012.537873382804,61542.0330336758,61918.4369054414,10538622
2023-04-24,61353.83203125,61824.33687811541,60977.42815375767,61447.93300062308,12986581
2023-04-25,59848.19921875,61542.01617777123,59659.99733441431,61447.91523560338,16193271
2023-04-26,60318.71484375,60506.91676213923,59565.90717019306,59848.21004777691,12664541
2023-04-27,60789.21875,61165.62258126935,59565.90629837461,60318.713960913316,14779601
2023-04-28,61636.12890625,62012.532746898854,61165.62410543893,61353.82602576336,19699481
2023-05-02,61824.3359375,62388.941745148404,61259.730129851596,62106.6388413242,14396948
2023-05-03,61542.03515625,61730.23709862385,61071.53030031537,61259.73224268922,8876749
2023-05-04,61259.7265625,61824.33233726958,60883.32271265361,61730.23137480798,9791064
2023-05-08,62012.53515625,62388.939011523136,61542.03033715857,62388.939011523136,9405365
2023-05-09,61447.9296875,61918.43450899694,61259.72775890123,61918.43450899694,9366861
2023-05-10,60789.21875,61636.12737035604,60506.91587654799,61636.12737035604,13057727
2023-05-11,60412.8203125,61259.72900846962,60412.8203125,60883.32514359424,11648905
2023-05-12,60318.71484375,60789.21963972309,59848.21004777691,59942.311006971526,8693913
2023-05-15,60695.12109375,60789.22205668604,60130.515316133715,60318.71724200581,8172021
2023-05-16,61542.03515625,62012.54001218463,61447.93418506307,61918.439040997706,12334657
2023-05-17,61165.625,62012.53365384615,60977.42307692308,62012.53365384615,10745504
2023-05-18,62294.83984375,62294.83984375,61824.33501109328,62106.637910687314,14431704
2023-05-19,64365.0703125,64365.0703125,63518.16149259868,63800.46443256579,20349345
2023-05-22,64459.15625,64929.661040145984,63988.651459854016,64365.0552919708,14470308
2023-05-23,64365.0703125,64647.3732524671,64082.76737253289,64459.17129248903,8561643
2023-05-24,64459.15625,64647.358166058395,63988.651459854016,64082.75241788321,8192896
